"","pub_date","L2_LRHUTTTT","L1_BCCI","L1_BRCI","L1_BSCI","L1_CSCICP02","L3_XTEXVA01","L3_XTIMVA01","L1_AEX","L1_AEXVLT"
"15",1987-04-15,7.4,-0.7,27,-6.3,-1.3,2.44250519810531,2.44531762616804,5.2695479537641,0.00843520384595949
"16",1987-05-15,7.4,-1.7,27.7,-7.3,-0.5,2.51925829609463,2.54091839828262,5.2680284541915,0.0131890537284347
"17",1987-06-15,7.4,-0.7,20.5,-7.6,-0.8,2.5168034407497,2.51571516636453,5.2643078784951,0.00794575382205197
"18",1987-07-15,7.4,-0.2,18.6,-6.8,-2.2,2.49673691325891,2.47183387875543,5.33851977806601,0.00777234379764016
"19",1987-08-15,7.5,1.6,22.3,-6.5,-4.5,2.53296790792302,2.50333998958715,5.39297901322631,0.00763314378205473
"20",1987-09-15,7.5,-1.9,21.4,-5.5,-4,2.53188381001724,2.46401832889739,5.38537967195888,0.0106381354011205
"21",1987-10-15,7.5,-0.8,18.9,-4.5,0.7,2.51944532517007,2.51976293374555,5.36380029500687,0.0118293464856352
"22",1987-11-15,7.5,-2.7,20.1,-2.9,-1.8,2.52959428656157,2.52247564486323,5.03980305902581,0.0476004934219108
"23",1987-12-15,7.5,-0.3,19,-2.4,-3.5,2.53581173269387,2.51964447592005,4.84492783727093,0.046974973051425
"24",1988-01-15,7.5,-4.1,14.9,-3.9,-2.2,2.57002134583785,2.50393963061805,4.92262175787542,0.0220432552073056
"25",1988-02-15,7.5,-4.2,16.3,-4.8,-3.7,2.58335359862007,2.56212891798652,4.95488910223938,0.0238768134863704
"26",1988-03-15,7.5,-5.7,17.5,-5.1,-3.5,2.5805721487553,2.59362461771322,5.04411167151752,0.0107393627630586
"27",1988-04-15,7.5,-1.6,13.3,-4.9,-3.3,2.47225931649393,2.38001260397126,5.0826794888273,0.0154538080713211
"28",1988-05-15,7.5,-3.5,14.1,-3.1,0.4,2.53742590732063,2.54643511541428,5.11681969160799,0.0105258756441225
"29",1988-06-15,7.4,-0.8,16.1,-3,-0.2,2.56208416982323,2.54748854497754,5.10218731529241,0.0118383043233537
"30",1988-07-15,7.4,-0.6,21.4,-2.4,-0.3,2.5793571477966,2.55606074292692,5.21438027530582,0.00968213418038327
"31",1988-08-15,7.4,1.5,18.5,-2.4,0.8,2.59831858097461,2.56989575241212,5.256979175644,0.00796060619354489
"32",1988-09-15,7.4,5.7,13.7,-0.4,2.6,2.59680004493481,2.59044050692865,5.2115119952064,0.0129109671805383
"33",1988-10-15,7.3,8.7,17.9,-1.4,1,2.60872048211895,2.58137655693932,5.25365581685372,0.00673140673416219
"34",1988-11-15,7.3,6.2,21.8,-0.6,2.2,2.6639050001598,2.58351574735088,5.28250024390294,0.00776512217589871
"35",1988-12-15,7.2,7.4,20,0.1,5.7,2.63724591006023,2.59953128522996,5.24752383736924,0.00936768094988286
"36",1989-01-15,7.2,4.6,20.6,1.3,4.7,2.65022500437923,2.60672153311027,5.3235611199321,0.0071524952928167
"37",1989-02-15,7.1,3.4,24.2,1.5,4.9,2.64197911247243,2.58051213508028,5.3603526618374,0.00756089640262426
"38",1989-03-15,7.1,-0.4,23,0,3,2.65012536591799,2.61927288831698,5.34746724385692,0.00865136535750682
"39",1989-04-15,7,-2.4,29.7,0.3,5,2.68853829829074,2.64659065305115,5.4036199147506,0.00653908179190703
"40",1989-05-15,6.9,-4.4,24.6,2.1,5.8,2.69698518503417,2.62851640481354,5.47492505839193,0.00705150103542164
"41",1989-06-15,6.9,-1.7,26.8,2.8,4.1,2.65210168402088,2.61027561344843,5.45551994403256,0.0118770917584552
"42",1989-07-15,6.8,-0.3,27.1,2,6.6,2.73898925327283,2.70554117235543,5.49179838191452,0.00649484691164677
"43",1989-08-15,6.7,3.1,25.7,0.6,7.5,2.73812236489377,2.69345074682069,5.52077252659882,0.00581723349134645
"44",1989-09-15,6.7,2.6,29.5,1.6,7.6,2.71437588341615,2.7152365841142,5.50719277827078,0.00927833227715749
"45",1989-10-15,6.6,3.5,25.4,0.5,7.7,2.6658524466694,2.66719435815756,5.50023699252282,0.00646456834275925
"46",1989-11-15,6.5,4.6,24.6,2.3,7.3,2.73648705689925,2.69617684545338,5.42317720984139,0.0194190075952693
"47",1989-12-15,6.5,6.5,27.7,2.1,8.2,2.72216115753588,2.66231544753211,5.43560823819728,0.00919253827379557
"48",1990-01-15,6.4,2.4,26.4,0,8.8,2.69826514893665,2.71955913846829,5.45971713414017,0.00758403593117016
