"h=3","h=6","h=12","h=18","h=24"
-0.03337,-0.0375433333333333,-0.0407400000000001,-0.00249333333333336,-0.0139033333333333
-0.0110033333333333,-0.04401,-0.00664999999999999,-0.00645999999999999,-0.0134766666666666
-0.01893,0.00390999999999999,-0.0192766666666667,-0.0124766666666667,-0.00344666666666665
-0.00624333333333333,0.00396999999999999,0.00797,0.0155166666666666,0.0189766666666666
-0.0021433333333333,0.00939,0.00744666666666667,0.00711333333333332,0.0121533333333333
-0.0354266666666667,-0.0253133333333333,0.0213433333333333,0.02863,0.0278833333333333
-0.00696666666666664,-0.01013,0.0250633333333333,0.03324,0.0177033333333334
-0.00480666666666671,-0.00899333333333334,0.0227033333333333,0.0357433333333333,0.0194266666666666
-0.0407733333333333,-0.0337166666666666,0.00736333333333334,0.01337,0.00852666666666664
-0.04836,-0.0554166666666666,0.00293666666666665,0.0528833333333333,0.00424
-0.0499866666666667,-0.0456133333333334,-0.000150000000000009,0.0532133333333334,0.0398066666666667
-0.0173766666666667,-0.0262533333333333,0.0265166666666667,0.0558433333333334,0.0760900000000002
0.00899000000000001,-0.0194833333333333,0.0441333333333333,0.112936666666667,0.100003333333334
0.0861566666666669,0.000923333333333355,0.0882500000000002,0.106426666666667,0.157726666666667
0.118166666666667,0.0519533333333333,0.0620666666666667,0.1265,0.10993
0.112223333333334,0.0749166666666667,0.0593633333333334,0.06295,0.0950600000000003
0.0897566666666669,0.0960133333333335,0.04756,0.0490833333333334,0.0987066666666669
0.0846166666666669,0.0953033333333335,0.0113466666666667,0.00634333333333333,0.03434
0.0546433333333334,0.0496866666666668,-0.0372,0.00648,0.0161966666666667
0.0938200000000001,0.137176666666667,-0.05343,0.0186033333333333,0.0168166666666666
0.0952233333333335,0.03458,-0.0411566666666667,-0.0283833333333333,-0.0120566666666666
0.0630333333333334,0.0326366666666666,-0.01158,-0.0470266666666667,-0.0037666666666667
0.0870700000000002,0.0529866666666666,0.019,-0.0124366666666667,-0.0147333333333333
0.00129000000000001,0.0368666666666666,0.0361666666666666,-0.029,-0.00601333333333336
-0.02823,0.00248666666666667,0.00515333333333336,-0.0658566666666667,-0.0314133333333333
-0.06373,0.0628533333333332,0.0333266666666666,-0.0652633333333334,-0.0294866666666667
-0.0598700000000001,-0.01703,-0.00831333333333337,-0.0312566666666666,-0.0686933333333333
-0.04912,0.0623166666666667,0.128726666666667,-0.01736,-0.0265133333333333
-0.0401833333333333,0.00669333333333329,0.0790633333333333,-0.00540666666666667,-0.02614
-0.0635566666666667,-0.0512133333333334,0.00249666666666666,-0.0216833333333333,-0.0348566666666667
-0.0334766666666666,-0.0382333333333334,0.00173333333333335,-0.01053,-0.0390466666666667
-0.0205533333333333,-0.0390166666666667,0.0351533333333333,-0.0208566666666667,-0.00655999999999991
