"ID";"Werkzaamheden";"Opdrachtgever";"Perioden";"TotaalAantalVerleendeBouwvergunningen_2";"AantalBouwvergunningenWoningbouw_4";"AantalBouwvergunningenUtiliteitsbouw_6"
"86";"0";"0";"1995MM02";"    2602";"    1715";"     887"
"87";"0";"0";"1995MM03";"    2836";"    1804";"    1032"
"89";"0";"0";"1995MM04";"    2665";"    1626";"    1039"
"90";"0";"0";"1995MM05";"    3177";"    2006";"    1171"
"91";"0";"0";"1995MM06";"    3312";"    2099";"    1213"
"93";"0";"0";"1995MM07";"    2805";"    1763";"    1042"
"94";"0";"0";"1995MM08";"    3084";"    1918";"    1166"
"95";"0";"0";"1995MM09";"    2752";"    1720";"    1032"
"97";"0";"0";"1995MM10";"    2842";"    1773";"    1069"
"98";"0";"0";"1995MM11";"    2953";"    1807";"    1146"
"99";"0";"0";"1995MM12";"    2802";"    1778";"    1024"
"102";"0";"0";"1996MM01";"    2656";"    1644";"    1012"
"103";"0";"0";"1996MM02";"    2752";"    1658";"    1094"
"104";"0";"0";"1996MM03";"    2658";"    1655";"    1003"
"106";"0";"0";"1996MM04";"    2750";"    1655";"    1095"
"107";"0";"0";"1996MM05";"    2975";"    1872";"    1103"
"108";"0";"0";"1996MM06";"    3526";"    2262";"    1264"
"110";"0";"0";"1996MM07";"    3176";"    1927";"    1249"
"111";"0";"0";"1996MM08";"    3054";"    1939";"    1115"
"112";"0";"0";"1996MM09";"    3371";"    2124";"    1247"
"114";"0";"0";"1996MM10";"    3145";"    1881";"    1264"
"115";"0";"0";"1996MM11";"    3119";"    1939";"    1180"
"116";"0";"0";"1996MM12";"    2634";"    1655";"     979"
"119";"0";"0";"1997MM01";"    2474";"    1548";"     926"
"120";"0";"0";"1997MM02";"    2411";"    1496";"     915"
"121";"0";"0";"1997MM03";"    2770";"    1699";"    1071"
"123";"0";"0";"1997MM04";"    3129";"    1911";"    1218"
"124";"0";"0";"1997MM05";"    2835";"    1726";"    1109"
"125";"0";"0";"1997MM06";"    3540";"    2152";"    1388"
"127";"0";"0";"1997MM07";"    3092";"    1807";"    1285"
"128";"0";"0";"1997MM08";"    2855";"    1658";"    1197"
"129";"0";"0";"1997MM09";"    3432";"    1986";"    1446"
"131";"0";"0";"1997MM10";"    3478";"    2110";"    1368"
"132";"0";"0";"1997MM11";"    3086";"    1739";"    1347"
"133";"0";"0";"1997MM12";"    3172";"    1876";"    1296"
"136";"0";"0";"1998MM01";"    2519";"    1452";"    1067"
"137";"0";"0";"1998MM02";"    2649";"    1594";"    1055"
"138";"0";"0";"1998MM03";"    3168";"    1865";"    1303"
"140";"0";"0";"1998MM04";"    2765";"    1607";"    1158"
"141";"0";"0";"1998MM05";"    2812";"    1629";"    1183"
"142";"0";"0";"1998MM06";"    3480";"    2011";"    1469"
"144";"0";"0";"1998MM07";"    3293";"    1876";"    1417"
"145";"0";"0";"1998MM08";"    2758";"    1552";"    1206"
"146";"0";"0";"1998MM09";"    3698";"    2135";"    1563"
"148";"0";"0";"1998MM10";"    2916";"    1653";"    1263"
"149";"0";"0";"1998MM11";"    2886";"    1590";"    1296"
"150";"0";"0";"1998MM12";"    3426";"    2009";"    1417"
"153";"0";"0";"1999MM01";"    2497";"    1403";"    1094"
"154";"0";"0";"1999MM02";"    2572";"    1497";"    1075"
"155";"0";"0";"1999MM03";"    3215";"    1873";"    1342"
"157";"0";"0";"1999MM04";"    2941";"    1726";"    1215"
"158";"0";"0";"1999MM05";"    3023";"    1673";"    1350"
"159";"0";"0";"1999MM06";"    3318";"    1924";"    1394"
"161";"0";"0";"1999MM07";"    3082";"    1766";"    1316"
"162";"0";"0";"1999MM08";"    3058";"    1803";"    1255"
"163";"0";"0";"1999MM09";"    3130";"    1797";"    1333"
"165";"0";"0";"1999MM10";"    2896";"    1666";"    1230"
"166";"0";"0";"1999MM11";"    3344";"    1969";"    1375"
"167";"0";"0";"1999MM12";"    3492";"    2132";"    1360"
"170";"0";"0";"2000MM01";"    2622";"    1586";"    1036"
"171";"0";"0";"2000MM02";"    2996";"    1731";"    1265"
"172";"0";"0";"2000MM03";"    3330";"    2069";"    1261"
"174";"0";"0";"2000MM04";"    2842";"    1684";"    1158"
"175";"0";"0";"2000MM05";"    3190";"    1872";"    1318"
"176";"0";"0";"2000MM06";"    3167";"    1840";"    1327"
"178";"0";"0";"2000MM07";"    2944";"    1684";"    1260"
"179";"0";"0";"2000MM08";"    3142";"    1777";"    1365"
"180";"0";"0";"2000MM09";"    2909";"    1658";"    1251"
"182";"0";"0";"2000MM10";"    2836";"    1597";"    1239"
"183";"0";"0";"2000MM11";"    2742";"    1538";"    1204"
"184";"0";"0";"2000MM12";"    2690";"    1588";"    1102"
"187";"0";"0";"2001MM01";"    3285";"    1993";"    1292"
"188";"0";"0";"2001MM02";"    3118";"    1760";"    1358"
"189";"0";"0";"2001MM03";"    3172";"    1871";"    1301"
"191";"0";"0";"2001MM04";"    2700";"    1574";"    1126"
"192";"0";"0";"2001MM05";"    3211";"    1886";"    1325"
"193";"0";"0";"2001MM06";"    3057";"    1816";"    1241"
"195";"0";"0";"2001MM07";"    3253";"    1833";"    1420"
"196";"0";"0";"2001MM08";"    2581";"    1467";"    1114"
"197";"0";"0";"2001MM09";"    2832";"    1570";"    1262"
"199";"0";"0";"2001MM10";"    3164";"    1795";"    1369"
"200";"0";"0";"2001MM11";"    2471";"    1425";"    1046"
"201";"0";"0";"2001MM12";"    2216";"    1284";"     932"
"204";"0";"0";"2002MM01";"    1977";"    1129";"     848"
"205";"0";"0";"2002MM02";"    2043";"    1201";"     842"
"206";"0";"0";"2002MM03";"    2219";"    1319";"     900"
"208";"0";"0";"2002MM04";"    2364";"    1353";"    1011"
"209";"0";"0";"2002MM05";"    2400";"    1436";"     964"
"210";"0";"0";"2002MM06";"    2624";"    1579";"    1045"
"212";"0";"0";"2002MM07";"    2404";"    1403";"    1001"
"213";"0";"0";"2002MM08";"    2344";"    1475";"     869"
"214";"0";"0";"2002MM09";"    2320";"    1368";"     952"
"216";"0";"0";"2002MM10";"    2889";"    1674";"    1215"
"217";"0";"0";"2002MM11";"    2722";"    1673";"    1049"
"218";"0";"0";"2002MM12";"    2984";"    1947";"    1037"
"221";"0";"0";"2003MM01";"    1953";"    1228";"     725"
"222";"0";"0";"2003MM02";"    2065";"    1285";"     780"
"223";"0";"0";"2003MM03";"    2899";"    1884";"    1015"
"225";"0";"0";"2003MM04";"    2217";"    1393";"     824"
"226";"0";"0";"2003MM05";"    1827";"    1100";"     727"
"227";"0";"0";"2003MM06";"    2588";"    1487";"    1101"
"229";"0";"0";"2003MM07";"    2166";"    1267";"     899"
"230";"0";"0";"2003MM08";"    2027";"    1156";"     871"
"231";"0";"0";"2003MM09";"    2471";"    1443";"    1028"
"233";"0";"0";"2003MM10";"    2401";"    1391";"    1010"
"234";"0";"0";"2003MM11";"    2184";"    1353";"     831"
"235";"0";"0";"2003MM12";"    3377";"    2140";"    1237"
"238";"0";"0";"2004MM01";"    1920";"    1175";"     745"
"239";"0";"0";"2004MM02";"    1957";"    1141";"     816"
"240";"0";"0";"2004MM03";"    2506";"    1505";"    1001"
"242";"0";"0";"2004MM04";"    2072";"    1234";"     838"
"243";"0";"0";"2004MM05";"    2092";"    1284";"     808"
"244";"0";"0";"2004MM06";"    2883";"    1760";"    1123"
"246";"0";"0";"2004MM07";"    2725";"    1703";"    1022"
"247";"0";"0";"2004MM08";"    2945";"    1779";"    1166"
"248";"0";"0";"2004MM09";"    2516";"    1531";"     985"
"250";"0";"0";"2004MM10";"    2472";"    1530";"     942"
