"buildpermits","faillisementen","dax","cac40","ftse","sp500","fin_stress","GAS_EU","OIL_BRENT","GOLD","Short_interest","Long_interest"
"-81","-175","0.0210707389718721","0.00354411824018719","-0.00556798440864981","0.0106176148073933","0.1051","0.190000000000001","13.75","-21.0500000000001","0.0739000000000001","4.362"
"-13","139","-0.100486200840304","-0.122795983521378","-0.073255699232142","-0.0898835539178222","0.1599","0.25","9.11000000000001","0.830000000000041","0.0831","4.734"
"192","31","0.00949624213717826","-0.00962717854510231","-0.0387807032979115","-0.00990829663377379","0.1271","1.74","0.819999999999993","50.28","0.0205000000000002","4.687"
"218","-72","-0.00887633729731263","0.0203366202192914","0.0406808495411024","0.0121167593514935","0.0931","0.270000000000001","-20.02","-100.74","0.00419999999999998","4.398"
"177","78","-0.0965843330249925","-0.105915900736218","-0.139535785088343","-0.0951807650769432","0.1239","0.209999999999999","-14.79","-9.10000000000002","0.0539999999999994","4.353"
"-430","-30","-0.156162889138708","-0.145225494798472","-0.113313227751815","-0.185636473886882","0.3179","1.08","-26.22","-23.3099999999999","0.0939000000000005","4.228"
"334","123","-0.0659899189605042","-0.0665129388563948","-0.0206116275680479","-0.0777983573133056","0.2197","-0.119999999999999","-19.6","-45.76","-0.8748","3.963"
"-86","-16","0.0296995663254158","-0.0137982057446546","0.0335268364543122","0.00779114667349834","0.2435","-0.31","-11.66","55.23","-0.9457","3.647"
"-1117","122","-0.103244589752315","-0.0788697953043496","-0.0663352926338643","-0.0895498795988168","0.1952","-1.61","3.28","42.6","-0.8361","3.763"
"-95","-24","-0.121048265739706","-0.0957110591017063","-0.0801210295796206","-0.11645651319919","0.1841","-2.85","-1.62","84.3099999999999","-0.5134","3.797"
"375","274","0.0608171291625066","0.0380675845998573","0.0247556536116829","0.0819526935612558","0.2593","-0.139999999999999","3.6","-18.73","-0.3076","3.658"
"73","-91","0.154968057650059","0.118287141983815","0.0777889846261548","0.0897722182435992","0.1954","-2.39","4.01","-34.0699999999999","-0.2132","3.771"
"-277","-191","0.0353002385516934","0.0366020831675158","0.040228871713591","0.0517205771551748","0.2013","-0.42","7.09","38.4499999999999","-0.1406","3.853"
