"ID";"TypeGefailleerde";"Perioden";"UitgesprokenFaillissementen_1"
"488";"T001243";"2009MM10";"     835"
"489";"T001243";"2009MM11";"     871"
"490";"T001243";"2009MM12";"     836"
"493";"T001243";"2010MM01";"     789"
"494";"T001243";"2010MM02";"     811"
"495";"T001243";"2010MM03";"     996"
"497";"T001243";"2010MM04";"     778"
"498";"T001243";"2010MM05";"     603"
"499";"T001243";"2010MM06";"     990"
"501";"T001243";"2010MM07";"     735"
"502";"T001243";"2010MM08";"     800"
"503";"T001243";"2010MM09";"     706"
"505";"T001243";"2010MM10";"     766"
"506";"T001243";"2010MM11";"     870"
"507";"T001243";"2010MM12";"     647"
"510";"T001243";"2011MM01";"     726"
"511";"T001243";"2011MM02";"     784"
"512";"T001243";"2011MM03";"     884"
"514";"T001243";"2011MM04";"     696"
"515";"T001243";"2011MM05";"     893"
"516";"T001243";"2011MM06";"     674"
"518";"T001243";"2011MM07";"     703"
"519";"T001243";"2011MM08";"     799"
"520";"T001243";"2011MM09";"     793"
"522";"T001243";"2011MM10";"     799"
"523";"T001243";"2011MM11";"    1022"
"524";"T001243";"2011MM12";"     758"
"527";"T001243";"2012MM01";"    1021"
"528";"T001243";"2012MM02";"     944"
"529";"T001243";"2012MM03";"     915"
"531";"T001243";"2012MM04";"     864"
"532";"T001243";"2012MM05";"    1022"
"533";"T001243";"2012MM06";"     891"
"535";"T001243";"2012MM07";"    1087"
"536";"T001243";"2012MM08";"     822"
"537";"T001243";"2012MM09";"     890"
"539";"T001243";"2012MM10";"    1092"
"540";"T001243";"2012MM11";"     967"
"541";"T001243";"2012MM12";"     833"
"544";"T001243";"2013MM01";"    1104"
"545";"T001243";"2013MM02";"    1063"
"546";"T001243";"2013MM03";"    1103"
"548";"T001243";"2013MM04";"    1039"
"549";"T001243";"2013MM05";"    1185"
"550";"T001243";"2013MM06";"    1047"
"552";"T001243";"2013MM07";"    1155"
"553";"T001243";"2013MM08";"     878"
"554";"T001243";"2013MM09";"     879"
"556";"T001243";"2013MM10";"    1133"
"557";"T001243";"2013MM11";"     920"
"558";"T001243";"2013MM12";"     943"
"561";"T001243";"2014MM01";"     938"
"562";"T001243";"2014MM02";"     900"
"563";"T001243";"2014MM03";"     781"
"565";"T001243";"2014MM04";"    1040"
"566";"T001243";"2014MM05";"     792"
"567";"T001243";"2014MM06";"     653"
"569";"T001243";"2014MM07";"     866"
"570";"T001243";"2014MM08";"     679"
"571";"T001243";"2014MM09";"     799"
"573";"T001243";"2014MM10";"     760"
"574";"T001243";"2014MM11";"     699"
"575";"T001243";"2014MM12";"     762"
"578";"T001243";"2015MM01";"     671"
"579";"T001243";"2015MM02";"     679"
"580";"T001243";"2015MM03";"     862"
"582";"T001243";"2015MM04";"     624"
"583";"T001243";"2015MM05";"     516"
"584";"T001243";"2015MM06";"     650"
"586";"T001243";"2015MM07";"     583"
"587";"T001243";"2015MM08";"     444"
"588";"T001243";"2015MM09";"     562"
"590";"T001243";"2015MM10";"     540"
"591";"T001243";"2015MM11";"     524"
"592";"T001243";"2015MM12";"     683"
"595";"T001243";"2016MM01";"     502"
"596";"T001243";"2016MM02";"     587"
