"ID";"AardWerkzaamheden";"Gebouwbestemming";"Perioden";"Bouwkosten_1";"Bouwvergunningen_2";"Bouwkosten_3";"Bouwvergunningen_4"
"111";"T001212";"T001032";"2021MM04";"    2023";"    2302";"   202.9";"   145.6"
"112";"T001212";"T001032";"2021MM05";"    1763";"    2148";"   176.7";"   135.8"
"113";"T001212";"T001032";"2021MM06";"    1836";"    2454";"   184.1";"   155.2"
"114";"T001212";"T001032";"2021MM07";"    2340";"    2578";"   234.6";"   163.0"
"115";"T001212";"T001032";"2021MM08";"    1284";"    1906";"   128.7";"   120.6"
"116";"T001212";"T001032";"2021MM09";"    1862";"    2310";"   186.6";"   146.1"
"117";"T001212";"T001032";"2021MM10";"    1879";"    2174";"   188.4";"   137.5"
"118";"T001212";"T001032";"2021MM11";"    1989";"    2226";"   199.4";"   140.8"
"119";"T001212";"T001032";"2021MM12";"    2006";"    2318";"   201.2";"   146.6"
"120";"T001212";"T001032";"2022MM01";"    1519";"    1923";"   152.3";"   121.6"
"121";"T001212";"T001032";"2022MM02";"    1449";"    2125";"   145.2";"   134.4"
"122";"T001212";"T001032";"2022MM03";"    2320";"    2425";"   232.6";"   153.3"
"123";"T001212";"T001032";"2022MM04";"    1484";"    2127";"   148.8";"   134.5"
"124";"T001212";"T001032";"2022MM05";"    1893";"    2151";"   189.8";"   136.0"
"125";"T001212";"T001032";"2022MM06";"    2161";"    2457";"   216.7";"   155.4"
"126";"T001212";"T001032";"2022MM07";"    2144";"    2353";"   214.9";"   148.8"
"127";"T001212";"T001032";"2022MM08";"    1386";"    1722";"   139.0";"   108.9"
"128";"T001212";"T001032";"2022MM09";"    1857";"    1998";"   186.2";"   126.3"
"129";"T001212";"T001032";"2022MM10";"    2118";"    1902";"   212.3";"   120.3"
"130";"T001212";"T001032";"2022MM11";"    1796";"    1799";"   180.0";"   113.8"
"131";"T001212";"T001032";"2022MM12";"    1456";"    1751";"   146.0";"   110.7"
"132";"T001212";"A007232";"2012MM01";"     411";"     866";"    83.4";"    98.3"
"133";"T001212";"A007232";"2012MM02";"     539";"     899";"   109.4";"   102.0"
"134";"T001212";"A007232";"2012MM03";"     495";"     912";"   100.4";"   103.5"
"135";"T001212";"A007232";"2012MM04";"     431";"     888";"    87.5";"   100.7"
"136";"T001212";"A007232";"2012MM05";"     614";"    1058";"   124.5";"   120.1"
"137";"T001212";"A007232";"2012MM06";"     598";"    1019";"   121.4";"   115.6"
"138";"T001212";"A007232";"2012MM07";"     665";"     997";"   135.0";"   113.1"
"139";"T001212";"A007232";"2012MM08";"     407";"     805";"    82.5";"    91.4"
"140";"T001212";"A007232";"2012MM09";"     415";"     753";"    84.1";"    85.4"
"141";"T001212";"A007232";"2012MM10";"     523";"     843";"   106.1";"    95.7"
"142";"T001212";"A007232";"2012MM11";"     424";"     847";"    86.0";"    96.1"
"143";"T001212";"A007232";"2012MM12";"     393";"     687";"    79.8";"    78.0"
