"","h=3","h=6"
"89",-0.0528583333333334,-0.057875
"90",-0.05425,-0.0536666666666667
"91",-0.0579416666666666,-0.0667749999999999
"92",-0.068725,-0.039
"93",-0.0325833333333333,-0.0425666666666667
"94",-0.07705,-0.029525
"95",-0.0700416666666667,-0.0545666666666666
"96",-0.0491,-0.0162166666666667
"97",-0.0261083333333333,-0.0564916666666667
"98",-0.0320333333333333,-0.0381833333333333
"99",-0.028525,-0.0126166666666667
"100",-0.0560583333333333,-0.0301083333333333
"101",-0.034075,-0.0318833333333334
"102",-0.027125,-0.041
"103",-0.00274166666666668,-0.0511583333333334
"104",-0.00786666666666667,-0.0511416666666667
"105",-0.0158416666666667,-0.0372333333333333
"106",-0.0510750000000001,-0.03545
"107",-0.0629916666666667,-0.0314083333333333
"108",-0.0330416666666667,-0.0104916666666667
"109",-0.0628166666666666,0.0159
"110",-0.030275,-0.019775
"111",-0.013125,0.017
"112",0.0292,0.0672833333333333
"113",-0.00686666666666664,0.0530833333333334
"114",0.0127,0.0996416666666667
"115",0.029125,0.1006
"116",0.0458333333333333,0.09265
"117",0.085325,0.0269416666666667
"118",0.089975,0.0244916666666667
"119",0.0954666666666667,0.0218583333333333
"120",0.0393166666666667,0.0151583333333333
"121",0.00539166666666669,-0.00889166666666665
"122",0.0441666666666667,-0.0493333333333333
"123",0.01415,-0.0164583333333333
"124",0.020825,-0.00683333333333334
"125",-0.06045,-0.0571166666666667
"126",0.00626666666666664,0.00883333333333332
"127",0.0191083333333333,0.00285000000000001
"128",-0.0108,0.0140083333333333
"129",0.0432333333333333,0.0226833333333333
"130",0.0356916666666666,0.0118333333333333
"131",0.037725,-0.011125
"132",0.0564,-0.00278333333333331
"133",0.0134083333333333,-0.0198166666666667
"134",0.0590666666666666,0.00796666666666664
"135",0.0608,-0.0252666666666667
"136",0.00210833333333326,-0.0129166666666667
"137",-0.00389999999999999,-0.0858416666666666
"138",-0.0137166666666666,-0.081275
"139",0.00311666666666661,-0.0177666666666667
"140",-0.0764916666666666,-0.0392916666666667
"141",-0.0553,-0.0182416666666667
"142",-0.04215,-0.0106166666666667
"143",-0.025375,-0.0166083333333333
"144",-0.00715833333333332,-0.0301083333333333
"145",-0.0219583333333333,0.00124999999999996
"146",-0.0450583333333334,-0.0085
"147",0.00316666666666665,0.00177499999999994
"148",0.0156583333333333,-0.034075
"149",0.017575,-0.0623333333333334
"150",0.00663333333333334,-0.00145833333333337
"151",0.006875,-0.0209583333333334
"152",-0.0267583333333333,-0.0163333333333333
"153",0.00559166666666666,-0.0191083333333334
"154",-0.0488416666666667,-0.0329916666666667
"155",0.00256666666666668,-0.04055
"156",-0.02075,-0.0201416666666667
"157",-0.03385,-0.0262333333333334
"158",-0.0318833333333333,-0.0211166666666667
"159",-0.0224416666666667,-0.0480083333333333
"160",-0.0264,-0.0244583333333333
"161",-0.0358083333333334,-0.04155
"162",-0.0730166666666666,-0.0573333333333333
"163",-0.0418,-0.00121666666666668
"164",-0.0296583333333334,-0.0413916666666667
"165",-0.0380083333333333,-0.0532583333333333
"166",-0.019975,-0.0400166666666667
"167",-0.0329333333333333,-0.0326916666666667
"168",-0.0560999999999999,-0.0359166666666667
"169",-0.00784166666666667,-0.0182
"170",-0.0266,-0.0638666666666667
"171",-0.0398416666666667,-0.0583416666666667
"172",-0.0458666666666666,-0.0798749999999999
"173",-0.0533083333333333,-0.026425
"174",-0.0698666666666666,-0.0357833333333333
"175",-0.051425,-0.0409333333333333
"176",-0.0440583333333333,-0.0463916666666666
"177",-0.0507916666666666,-0.0444916666666667
"178",-0.0550083333333333,-0.05605
"179",-0.0360166666666667,-0.0242083333333333
"180",-0.0391,-0.0276916666666667
"181",-0.0590166666666666,-0.0181666666666667
"182",-0.0189166666666667,-0.0470166666666667
"183",-0.00899999999999998,-0.0122083333333334
"184",-0.0188583333333333,-0.0322666666666667
"185",-0.03075,-0.0181833333333333
"186",0.0208916666666667,0.010975
"187",-0.0121,-0.00217499999999999
"188",0.007675,-0.0237166666666667
"189",0.0201416666666667,-0.0139333333333334
"190",-0.0220583333333333,-0.0205666666666666
"191",-0.00465,-0.00112499999999999
"192",-0.0137833333333333,-0.0221416666666667
"193",-0.0246416666666667,0.00301666666666668
"194",0.0124916666666667,-0.01615
"195",-0.0225583333333334,0.0094833333333333
"196",-0.00903333333333338,0.00658333333333331
"197",-0.0294,-0.0264333333333334
"198",-0.00240000000000003,0.0136666666666667
"199",-0.0185166666666667,0.023925
