"","h=3","h=6"
"96",0.0129916666666666,-0.00353333333333335
"97",0.00992499999999999,-0.0234083333333333
"98",-0.017125,-0.0330666666666667
"99",-0.0130583333333334,-0.0119416666666667
"100",-0.0270083333333333,-0.04445
"101",-0.0616083333333333,-0.0252666666666667
"102",-0.02235,-0.0441583333333333
"103",-0.0122416666666667,-0.0630583333333333
"104",-0.0234166666666667,-0.0527833333333333
"105",-0.0187083333333333,-0.0143333333333333
"106",-0.0365916666666667,-0.0501416666666666
"107",-0.0488833333333333,-0.034075
"108",-0.0373916666666667,-0.0269166666666667
"109",-0.065475,0.00156666666666668
"110",-0.032525,-0.02265
"111",-0.0240833333333333,0.00558333333333334
"112",0.0130416666666667,0.00683333333333333
"113",-0.0154916666666667,0.0266333333333333
"114",0.0305333333333333,0.0765416666666666
"115",0.0573833333333333,0.088
"116",0.0395666666666667,0.0883166666666667
"117",0.0616083333333333,0.018125
"118",0.0770083333333334,0.02885
"119",0.055,0.00440833333333335
"120",0.0564083333333334,-0.000458333333333336
"121",-0.0128666666666666,-0.0437916666666667
"122",0.00917499999999999,-0.0237833333333333
"123",0.0352,-0.00167499999999998
"124",-0.0110166666666667,0.032775
"125",-0.0251,-0.0415333333333333
"126",0.00678333333333333,0.00660833333333329
"127",0.0498333333333333,0.00559166666666666
"128",-0.0196333333333334,0.037425
"129",0.0648416666666666,-0.00514166666666667
"130",0.0730916666666667,0.00864166666666665
"131",0.056225,0.0231666666666666
"132",0.0709416666666666,0.0468166666666666
"133",0.0295416666666666,-0.0314166666666667
"134",0.053775,0.0163333333333333
"135",0.0549666666666667,-0.000483333333333349
"136",0.001775,-0.0396416666666667
"137",-0.0294583333333334,-0.0743083333333333
"138",-0.0119916666666667,-0.046425
"139",-0.00246666666666666,-0.0689166666666666
"140",-0.0511583333333333,-0.0272083333333333
"141",-0.0349416666666667,-0.0448833333333333
"142",0.000250000000000004,-0.0498166666666667
"143",-0.00149166666666669,0.0103333333333334
"144",0.0231916666666667,-0.0082916666666667
"145",-0.000641666666666653,0.00017499999999996
"146",-0.02845,0.00679166666666667
"147",0.0116,-0.0419916666666667
"148",0.00910833333333333,-0.0277583333333333
"149",0.0361666666666667,-0.0310833333333334
"150",-0.0145166666666667,0.00666666666666669
"151",0.0117666666666666,-0.00989166666666667
"152",-0.0194083333333334,-0.0220916666666666
"153",-0.04115,-0.020875
"154",-0.0294666666666666,-0.0333
"155",0.0305083333333333,-0.0177666666666666
"156",-0.0301666666666666,-0.0396333333333333
"157",-0.0526916666666667,-0.00864166666666666
"158",-0.0136166666666667,-0.018675
"159",-0.0361166666666667,-0.0539499999999999
"160",-0.00723333333333331,-0.0229583333333334
"161",-0.02635,-0.0241916666666667
"162",-0.0682916666666666,-0.0302666666666667
"163",-0.0123916666666667,0.00933333333333331
